,base,clouds.all,cod,coord.lat,coord.lon,dt,id,main.grnd_level,main.humidity,main.pressure,main.sea_level,main.temp,main.temp_max,main.temp_min,name,rain.1h,rain.3h,sys.country,sys.id,sys.message,sys.sunrise,sys.sunset,sys.type,visibility,weather,wind.deg,wind.gust,wind.speed
50,stations,92,200,64.9,45.76,1537731568,535839,1002.93,98,1002.93,1011.77,50.12,50.12,50.12,Leshukonskoye,,3.1025,RU,,0.0033,1537670652,1537714341,,,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",224.004,,5.61
51,stations,76,200,-33.59,26.89,1537731366,964432,1026.59,97,1026.59,1035.56,64.7,64.7,64.7,Port Alfred,,,ZA,,0.0032,1537675184,1537718997,,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",260.004,,5.95
52,stations,0,200,-29.95,-71.34,1537729200,3893629,,63,1014.0,,64.4,64.4,64.4,Coquimbo,,,CL,4666.0,0.0036,1537698755,1537742560,1.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",290.0,,17.22
53,stations,0,200,41.72,-8.86,1537729200,2742765,,77,1022.0,,71.6,73.4,69.8,Areosa,,,PT,5959.0,0.0162,1537683874,1537727389,1.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",340.0,,5.82
54,stations,20,200,17.88,-76.41,1537729200,3489440,,62,1009.0,,89.6,89.6,89.6,Morant Bay,,,JM,4111.0,0.0051,1537700092,1537743614,1.0,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",140.0,,23.04
55,stations,8,200,67.68,53.15,1537731570,866062,1007.63,85,1007.63,1010.28,56.51,56.51,56.51,Iskateley,,,RU,,0.005,1537668843,1537712589,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02n'}]",175.504,,19.48
56,stations,20,200,59.7,30.79,1537729200,546105,,87,999.0,,46.4,46.4,46.4,Nikolskoye,,,RU,7267.0,0.004,1537674292,1537717905,1.0,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",190.0,,4.47
57,stations,0,200,64.25,-15.21,1537731570,2630299,1021.24,100,1021.24,1032.52,42.74,42.74,42.74,Hofn,,,IS,,0.0042,1537685320,1537728934,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",237.004,,12.33
58,stations,0,200,-22.46,-68.93,1537729200,3897347,,3,1021.0,,75.2,75.2,75.2,Calama,,,CL,4640.0,0.0043,1537698209,1537741942,1.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",280.0,,24.16
59,stations,12,200,-33.86,121.89,1537731571,2071860,1020.03,93,1020.03,1031.95,51.92,51.92,51.92,Esperance,,,AU,,0.005,1537652404,1537696188,,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",287.504,,3.15
